Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,699,1,156,"H3","080810",8,58288936,58288936,51486847,0
2010,699,1,156,"H3","080820",8,13125371,13125371,7036224,0
2010,699,1,156,"H3","0809",8,37440,37440,38151,0
2010,699,1,156,"H3","0810",8,42632,42632,52426,0
2010,699,2,156,"H3","0810",8,0,0,1,6
2010,699,1,156,"H3","081090",8,42632,42632,52426,0
2010,699,2,156,"H3","081090",8,0,0,1,6
2010,699,1,156,"H3","0811",8,65899,65899,81549,0
2010,699,2,156,"H3","0811",8,297521,297521,599636,6
2010,699,1,156,"H3","081120",8,19899,19899,48144,0
2010,699,2,156,"H3","081190",8,297521,297521,599636,6
2010,699,1,156,"H3","0812",8,7008,7008,12906,0
2010,699,2,156,"H3","0812",8,12,12,13,6
2010,699,1,156,"H3","081290",8,7008,7008,12906,0
2010,699,2,156,"H3","081290",8,12,12,13,6
2010,699,1,156,"H3","0813",1,,16800,82616,0
2010,699,2,156,"H3","0813",1,,,2688,0
2010,699,1,156,"H3","081330",8,8700,8700,43276,0
2010,699,1,156,"H3","081340",8,8100,8100,39340,0
2010,699,2,156,"H3","081340",1,,,2688,0
2010,699,1,156,"H3","0901",1,,260,1612,0
2010,699,1,156,"H3","090190",8,260,260,1612,0
2010,699,1,156,"H3","0902",8,964792,964792,2059570,0
2010,699,2,156,"H3","0902",8,1091581,1091581,3923539,6
2010,699,1,156,"H3","090210",8,124966,124966,207010,0
2010,699,2,156,"H3","090210",8,11536,11536,153114,6
2010,699,1,156,"H3","090220",8,283091,283091,676797,0
2010,699,2,156,"H3","090220",8,3605,3605,17362,6
2010,699,1,156,"H3","090230",8,183705,183705,367528,0
2010,699,2,156,"H3","090230",8,126580,126580,1101386,6
2010,699,1,156,"H3","090240",8,373030,373030,808235,0
2010,699,2,156,"H3","090240",8,949861,949861,2651676,6
2010,699,1,156,"H3","0904",8,422700,422700,1113821,0
2010,699,2,156,"H3","0904",8,3479955,3479955,10221058,6
2010,699,1,156,"H3","090411",8,100700,100700,570946,0
2010,699,2,156,"H3","090411",8,116311,116311,331961,6
2010,699,1,156,"H3","0907",8,25000,25000,72787,0
2010,699,1,156,"H3","090700",8,25000,25000,72787,0
2010,699,1,156,"H3","0908",8,9000,9000,60315,0
2010,699,2,156,"H3","0908",8,403,403,4496,6
2010,699,1,156,"H3","090810",8,2000,2000,12509,0
2010,699,1,156,"H3","090820",8,7000,7000,47807,0
2010,699,2,156,"H3","090830",8,403,403,4496,6
2010,699,1,156,"H3","090910",8,1734465,1734465,3389330,0
2010,699,2,156,"H3","090920",8,22267,22267,26730,6
2010,699,2,156,"H3","090940",8,5730,5730,17176,6
2010,699,1,156,"H3","090950",8,26000,26000,38504,0
2010,699,2,156,"H3","090950",8,378,378,765,6
2010,699,1,156,"H3","091010",8,1383850,1383850,2282861,0
2010,699,2,156,"H3","091010",8,8562,8562,15081,6
2010,699,1,156,"H3","10",1,,,44283,0
2010,699,2,156,"H3","10",1,,,794153,0
2010,699,1,156,"H3","1004",8,26000,26000,9141,0
2010,699,1,156,"H3","100400",8,26000,26000,9141,0
2010,699,2,156,"H3","100510",8,69537,69537,243108,6
2010,699,1,156,"H3","100590",8,78000,78000,35142,0
